ref_date,ticker,country,cumret_adjusted_prices
2015-11-18,BA,USA,1.1700309858892477
2015-11-19,BA,USA,1.1776063252084332
2015-11-20,BA,USA,1.178868163226835
2015-11-23,BA,USA,1.170504488588623
2015-11-24,BA,USA,1.1729504396900663
2015-11-25,BA,USA,1.16332398560623
2015-11-27,BA,USA,1.1595363159466372
2015-11-30,BA,USA,1.1477001913974347
2015-12-01,BA,USA,1.165769936707673
2015-12-02,BA,USA,1.1596151230833842
2015-12-03,BA,USA,1.1485684072562092
2015-12-04,BA,USA,1.1717671360584683
2015-12-07,BA,USA,1.1713724316974543
2015-12-08,BA,USA,1.1440708046886148
2015-12-09,BA,USA,1.1381528084019028
2015-12-10,BA,USA,1.1552755395150054
2015-12-11,BA,USA,1.1411510781378533
2015-12-14,BA,USA,1.1283682033430724
2015-12-15,BA,USA,1.1562225537121413
2015-12-16,BA,USA,1.1686899360083773
2015-12-17,BA,USA,1.148568407256209
2015-12-18,BA,USA,1.10138213921986
2015-12-21,BA,USA,1.1117975269129199
2015-12-22,BA,USA,1.1234760371886288
2015-12-23,BA,USA,1.1367325554569492
2015-12-24,BA,USA,1.1325500406621785
2015-12-28,BA,USA,1.1405196884150415
2015-12-29,BA,USA,1.162692595883418
2015-12-30,BA,USA,1.1552755395150056
2015-12-31,BA,USA,1.140914524751834
2016-01-04,BA,USA,1.108641449339
2016-01-05,BA,USA,1.113139183882373
2016-01-06,BA,USA,1.0954641429331482
2016-01-07,BA,USA,1.049540056052226
2016-01-08,BA,USA,1.025710263067409
2016-01-11,BA,USA,1.0274463516479329
2016-01-12,BA,USA,1.0409394233022728
2016-01-13,BA,USA,1.01095475510447
2016-01-14,BA,USA,1.0194767126934552
2016-01-15,BA,USA,0.991306931414538
2016-01-19,BA,USA,0.9946999055115021
2016-01-20,BA,USA,0.9637685486568179
2016-01-21,BA,USA,0.9737107679891421
2016-01-22,BA,USA,0.9832584149362316
2016-01-25,BA,USA,0.9785240654181423
2016-01-26,BA,USA,1.0100866712214747
2016-01-27,BA,USA,0.9198962452178258
2016-01-28,BA,USA,0.9311798487696601
2016-01-29,BA,USA,0.9479081394733064
2016-02-01,BA,USA,0.9591918046138375
2016-02-02,BA,USA,0.9273134335620171
2016-02-03,BA,USA,0.9616380284652235
2016-02-04,BA,USA,0.9753678470700583
2016-02-05,BA,USA,0.9670825748428714
2016-02-08,BA,USA,0.9427004104332354
2016-02-09,BA,USA,0.938044859253508
2016-02-10,BA,USA,0.9266568716589847
2016-02-11,BA,USA,0.8635842128074603
2016-02-12,BA,USA,0.8650973767007278
2016-02-16,BA,USA,0.8967130807590858
2016-02-17,BA,USA,0.9264973833294313
2016-02-18,BA,USA,0.9362928631924395
2016-02-19,BA,USA,0.9171002943508598
2016-02-22,BA,USA,0.9348594478631412
2016-02-23,BA,USA,0.9309571264452645
2016-02-24,BA,USA,0.9205246170944947
2016-02-25,BA,USA,0.9303199561833387
2016-02-26,BA,USA,0.9409913680889916
2016-02-29,BA,USA,0.9411506628540693
2016-03-01,BA,USA,0.9553260668818593
2016-03-02,BA,USA,0.9528572311803628
2016-03-03,BA,USA,0.9525387120372892
2016-03-04,BA,USA,0.9641658045495564
2016-03-07,BA,USA,0.9787392739215282
2016-03-08,BA,USA,0.974359411345443
2016-03-09,BA,USA,0.9784208251655365
2016-03-10,BA,USA,0.979057916241995
2016-03-11,BA,USA,0.992516551016439
2016-03-14,BA,USA,1.0061345421446577
2016-03-15,BA,USA,1.0062936961355715
2016-03-16,BA,USA,1.015930022007666
2016-03-17,BA,USA,1.0408563225535206
2016-03-18,BA,USA,1.0668179730844911
2016-03-21,BA,USA,1.0819490577188953
2016-03-22,BA,USA,1.0760556969109027
2016-03-23,BA,USA,1.0580578520049844
2016-03-24,BA,USA,1.0521647639469351
2016-03-28,BA,USA,1.0455547570629904
2016-03-29,BA,USA,1.0422897994715152
2016-03-30,BA,USA,1.0239731714709657
2016-03-31,BA,USA,1.0109127956051793
2016-04-01,BA,USA,1.011072019983175
2016-04-04,BA,USA,1.0061345421446577
2016-04-05,BA,USA,1.0116293712940496
2016-04-06,BA,USA,1.0187967910775655
2016-04-07,BA,USA,1.0113905391262485
2016-04-08,BA,USA,1.0183985937576048
2016-04-11,BA,USA,1.0186374963124878
2016-04-12,BA,USA,1.0310609746662913
2016-04-13,BA,USA,1.0443603850627396
2016-04-14,BA,USA,1.0420509673037148
2016-04-15,BA,USA,1.0442807684745494
2016-04-18,BA,USA,1.0509701103983562
2016-04-19,BA,USA,1.0566242959015226
2016-04-20,BA,USA,1.0398211661328802
2016-04-21,BA,USA,1.0411747713095123
2016-04-22,BA,USA,1.0436436773980906
2016-04-25,BA,USA,1.0412543790993172
2016-04-26,BA,USA,1.0610840390173557
2016-04-27,BA,USA,1.091664657042155
2016-04-28,BA,USA,1.0735074469840769
2016-04-29,BA,USA,1.0735074469840769
2016-05-02,BA,USA,1.067215968041591
2016-05-03,BA,USA,1.0551114751452797
2016-05-04,BA,USA,1.042369345672624
2016-05-05,BA,USA,1.0518461744167795
2016-05-06,BA,USA,1.0612433337824334
2016-05-09,BA,USA,1.0520055395689396
2016-05-10,BA,USA,1.0728702151334542
2016-05-11,BA,USA,1.0678123137959246
2016-05-12,BA,USA,1.0792132614119312
2016-05-13,BA,USA,1.060747069660398
2016-05-16,BA,USA,1.076965124406221
2016-05-17,BA,USA,1.0642797269217024
2016-05-18,BA,USA,1.0516745355171864
2016-05-19,BA,USA,1.028311276910621
2016-05-20,BA,USA,1.0227715408028777
2016-05-23,BA,USA,1.024296916854882
2016-05-24,BA,USA,1.0236547931020563
2016-05-25,BA,USA,1.034573694786603
2016-05-26,BA,USA,1.0381865053375983
2016-05-27,BA,USA,1.0374639555451386
2016-05-31,BA,USA,1.012815965521733
2016-06-01,BA,USA,1.014903391222339
2016-06-02,BA,USA,1.0184359868949466
2016-06-03,BA,USA,1.0226911939487107
2016-06-06,BA,USA,1.0589809697877623
2016-06-07,BA,USA,1.0592217551970902
2016-06-08,BA,USA,1.0678123137959243
2016-06-09,BA,USA,1.068615280829633
2016-06-10,BA,USA,1.0528789816685564
2016-06-13,BA,USA,1.0430839769183522
2016-06-14,BA,USA,1.0477407334768598
2016-06-15,BA,USA,1.0450108408864034
2016-06-16,BA,USA,1.0386682697207301
2016-06-17,BA,USA,1.042281273836201
2016-06-20,BA,USA,1.0658051733607885
2016-06-21,BA,USA,1.055929874546729
2016-06-22,BA,USA,1.057936953393168
2016-06-23,BA,USA,1.072228223356407
2016-06-24,BA,USA,1.0157865027473538
2016-06-27,BA,USA,0.9851170122330732
2016-06-28,BA,USA,0.9946711699852526
2016-06-29,BA,USA,1.019560077393765
2016-06-30,BA,USA,1.0426822866394443
2016-07-01,BA,USA,1.041237600578632
2016-07-05,BA,USA,1.0193995156612101
2016-07-06,BA,USA,1.0193190984199614
2016-07-07,BA,USA,1.0210051769786843
2016-07-08,BA,USA,1.0444489232135803
2016-07-11,BA,USA,1.0601046643592438
2016-07-12,BA,USA,1.0502295767064305
2016-07-13,BA,USA,1.0446094233574381
2016-07-14,BA,USA,1.0561707303431387
2016-07-15,BA,USA,1.0629147806264736
2016-07-18,BA,USA,1.0712646242030615
2016-07-19,BA,USA,1.0811399142187357
2016-07-20,BA,USA,1.0816216170131707
2016-07-21,BA,USA,1.0720673888739092
2016-07-22,BA,USA,1.0715856860794741
2016-07-25,BA,USA,1.0673305494127923
2016-07-26,BA,USA,1.082665228682043
2016-07-27,BA,USA,1.091577192294315
2016-07-28,BA,USA,1.067892528674312
2016-07-29,BA,USA,1.0731112732927246
2016-08-01,BA,USA,1.069498392354647
2016-08-02,BA,USA,1.0565722094608003
2016-08-03,BA,USA,1.0587398500397944
2016-08-04,BA,USA,1.0534411017042398
2016-08-05,BA,USA,1.057615821129673
2016-08-08,BA,USA,1.061309383260557
2016-08-09,BA,USA,1.0647614913048336
2016-08-10,BA,USA,1.0708327290675665
2016-08-11,BA,USA,1.0766613777519938
2016-08-12,BA,USA,1.0774709963649567
2016-08-15,BA,USA,1.090099336321084
2016-08-16,BA,USA,1.0928515856084786
2016-08-17,BA,USA,1.0905850687759666
2016-08-18,BA,USA,1.0928515856084786
2016-08-19,BA,USA,1.0883182791935115
2016-08-22,BA,USA,1.092770904415672
2016-08-23,BA,USA,1.085889977652894
2016-08-24,BA,USA,1.0790089277127226
2016-08-25,BA,USA,1.0764992675036338
2016-08-26,BA,USA,1.0704279593538188
2016-08-29,BA,USA,1.075851767937416
2016-08-30,BA,USA,1.0589329130074885
2016-08-31,BA,USA,1.0479233791564095
2016-09-01,BA,USA,1.0515661306124346
2016-09-02,BA,USA,1.0617662482134116
2016-09-06,BA,USA,1.0765802918334653
2016-09-07,BA,USA,1.0737469566275424
2016-09-08,BA,USA,1.0758517679374162
2016-09-09,BA,USA,1.040475845181467
2016-09-12,BA,USA,1.05334712615131
2016-09-13,BA,USA,1.0423376010986163
2016-09-14,BA,USA,1.0335139732743248
2016-09-15,BA,USA,1.0343234511131236
2016-09-16,BA,USA,1.0256615991985523
2016-09-19,BA,USA,1.0319759099507797
2016-09-20,BA,USA,1.0344854205873193
2016-09-21,BA,USA,1.0569091172290608
2016-09-22,BA,USA,1.067513599818064
2016-09-23,BA,USA,1.0667852166961789
2016-09-26,BA,USA,1.0569901415588925
2016-09-27,BA,USA,1.0630613793216257
2016-09-28,BA,USA,1.0704279593538188
2016-09-29,BA,USA,1.0607137061835032
2016-09-30,BA,USA,1.0664614625138777
2016-10-03,BA,USA,1.0716423476805292
2016-10-04,BA,USA,1.0705898056506211
2016-10-05,BA,USA,1.0900993363210838
2016-10-06,BA,USA,1.0881567056466521
2016-10-07,BA,USA,1.0835425684663291
2016-10-10,BA,USA,1.0996516904042855
2016-10-11,BA,USA,1.08265159998328
2016-10-12,BA,USA,1.0779564472715109
2016-10-13,BA,USA,1.0797373108346076
